CACODE	CONSTITUENCY_C	CONSTITUENCY_E	CAND_NUM	NAME_E	NAME_C	AFFILIATION
C29	下耀東	loweryiutung	1	wongchichung	王志鍾	民建聯
C29	下耀東	loweryiutung	2	ngkamwai	吳錦偉	獨立民主派
C29	下耀東	loweryiutung	3	wongszechinricky	王詩展	獨立建制派
C30	上耀東	upperyiutung	1	chiuchikeung	趙資強	工聯會
C31	興民	hingman	1	cheungchunpong	張駿邦	柴灣社區關注組/傘後組織
C31	興民	hingman	2	lauhingyeung	劉慶揚	民建聯
C32	樂康	lokhong	1	tsangkinshing	曾健成	社民連
C32	樂康	lokhong	2	lunmankit	倫文傑	不明確
C32	樂康	lokhong	3	lichunchau	李進秋	獨立建制派
C33	翠德	tsuitak	1	leechunkeung	李鎮強	自由黨
C33	翠德	tsuitak	2	likinhang	李健恆	獨立民主派
C34	漁灣	yuewan	1	chungshukunchristopher	鍾樹根	民建聯
C34	漁灣	yuewan	2	chuichikin	徐子見	獨立民主派
C35	佳曉	kaihiu	1	chikkitlingelaine	植潔鈴	獨立建制派
C35	佳曉	kaihiu	2	lamchuilin	林翠蓮	獨立建制派
D01	香港仔	aberdeen	1	manhokeungzico	文豪強	公民黨
D01	香港仔	aberdeen	2	leekithing	李傑興	不明確
D01	香港仔	aberdeen	3	yampauline	任葆琳	獨立建制派
D01	香港仔	aberdeen	4	howaichun	何偉俊	不明確
D02	鴨脷洲邨	apleichauestate	1	lamyukchun	林玉珍	香港島各界聯合會
D03	鴨脷洲北	apleichaunorth	1	leungkwokkeung	梁國強	獨立建制派
D03	鴨脷洲北	apleichaunorth	2	cheungsikyung	張錫容	香港島各界聯合會
D04	利東一	leitungi	1	wongyunkei	黃潤基	熱血公民
D04	利東一	leitungi	2	likaying	李嘉盈	民建聯
D04	利東一	leitungi	3	aunokhin	區諾軒	民主黨/鴨脷洲社區職工會
D05	利東二	leitungii	1	lokinhei	羅健熙	民主黨
D05	利東二	leitungii	2	tsoimanlungtimothy	蔡文龍	熱血公民
D05	利東二	leitungii	3	pangsiukei	彭兆基	民建聯
D05	利東二	leitungii	4	tangkalok	鄧嘉樂	不明確
D06	海怡東	southhorizonseast	1	chankalok	陳家洛	公民黨
D06	海怡東	southhorizonseast	2	lamkaifai	林啟暉	香港島各界聯合會
D06	海怡東	southhorizonseast	3	auyuenfatjoseph	區元發	海怡關注組
D07	海怡西	southhorizonswest	1	yuenmimingerica	袁彌明	人民力量
D07	海怡西	southhorizonswest	2	chanjudykapui	陳家珮	新民黨
D08	華貴	wahkwai	1	laupaktung	劉栢彤	不明確
D08	華貴	wahkwai	2	yeungsiupik	楊小壁	民主黨
D08	華貴	wahkwai	3	maktsehowlingada	麥謝巧玲	民建聯
D09	華富南	wahfusouth	1	aulapsing	歐立成	香港島各界聯合會
D09	華富南	wahfusouth	2	lisheelin	黎熙琳	民主黨
D10	華富北	wahfunorth	1	wongchoilap	黃才立	民建聯
D10	華富北	wahfunorth	2	lawyuetwah	羅月華	不明確
D10	華富北	wahfunorth	3	chaimanhon	柴文瀚	民主黨
D10	華富北	wahfunorth	4	wunkeiyan	尹杞殷	新青年聯盟
D11	薄扶林	pokfulam	1	youngchitonjeremy	楊哲安	自由黨
D11	薄扶林	pokfulam	2	zimmermanpaulusjohannes	司馬文	獨立民主派
D12	置富	chifu	1	chuchinghong	朱慶虹	香港島各界聯合會
D12	置富	chifu	2	yiuchungyim	姚松炎	城鄉共生連線
D13	田灣	tinwan	1	chanfuming	陳富明	香港島各界聯合會
